UID,Vendor_Name,Part_Type,Batch_Code,Manufacturing_Date,Last_Inspection_Date,Warranty_End_Date,Status,AI_Analysis
TS25CB26400216,"Cortez, Marsh and Nelson",Elastic Rail Clip,B264,20-08-2025,30-08-2025,19-08-2030,OK,Performance nominal.
RC25PB87900217,Kent-Young,Rail Pad,B879,01-06-2025,07-06-2025,31-05-2030,OK,Performance nominal.
RC25LB71300218,Kent-Young,GFN Liner,B713,12-08-2025,26-08-2025,11-08-2030,OK,Performance nominal.
TS25PB99300219,"Cortez, Marsh and Nelson",Rail Pad,B993,22-02-2025,11-03-2025,21-02-2030,OK,Performance nominal.
PP25CB83900220,"Wright, West and James",Elastic Rail Clip,B839,06-05-2025,20-05-2025,05-05-2030,OK,Performance nominal.
SI25PB11800221,Wright Ltd,Rail Pad,B118,24-04-2025,08-05-2025,23-04-2030,FLAGGED,High failure rate predicted for this batch.
PP25CB62500222,"Wright, West and James",Elastic Rail Clip,B625,04-03-2025,09-03-2025,03-03-2030,FLAGGED,High failure rate predicted for this batch.
TS25PB27100223,"Cortez, Marsh and Nelson",Rail Pad,B271,15-08-2025,03-09-2025,14-08-2030,OK,Performance nominal.
SI25CB56400224,Wright Ltd,Elastic Rail Clip,B564,16-05-2025,01-06-2025,15-05-2030,OK,Performance nominal.
SI25LB37800225,Wright Ltd,GFN Liner,B378,15-06-2025,29-06-2025,14-06-2030,FLAGGED,High failure rate predicted for this batch.
RC25CB34600226,Kent-Young,Elastic Rail Clip,B346,27-08-2025,03-09-2025,26-08-2030,OK,Performance nominal.
SI25PB48600227,Wright Ltd,Rail Pad,B486,15-02-2025,21-02-2025,14-02-2030,OK,Performance nominal.
RC25LB46200228,Kent-Young,GFN Liner,B462,03-05-2025,19-05-2025,02-05-2030,FLAGGED,High failure rate predicted for this batch.
PP25CB32000229,"Wright, West and James",Elastic Rail Clip,B320,16-02-2025,04-03-2025,15-02-2030,OK,Performance nominal.
PP25LB78700230,"Wright, West and James",GFN Liner,B787,20-07-2025,04-08-2025,19-07-2030,OK,Performance nominal.
PP25PB86600231,"Wright, West and James",Rail Pad,B866,15-07-2025,02-08-2025,14-07-2030,FLAGGED,High failure rate predicted for this batch.
TS25CB90400232,"Cortez, Marsh and Nelson",Elastic Rail Clip,B904,25-08-2025,10-09-2025,24-08-2030,OK,Performance nominal.
TS25PB43600233,"Cortez, Marsh and Nelson",Rail Pad,B436,04-08-2025,15-08-2025,03-08-2030,OK,Performance nominal.
RC25CB30400234,Kent-Young,Elastic Rail Clip,B304,03-04-2025,10-04-2025,02-04-2030,FLAGGED,High failure rate predicted for this batch.
RC25CB25500235,Kent-Young,Elastic Rail Clip,B255,04-07-2025,15-07-2025,03-07-2030,OK,Performance nominal.
TS25CB24300236,"Cortez, Marsh and Nelson",Elastic Rail Clip,B243,22-02-2025,08-03-2025,21-02-2030,OK,Performance nominal.
SI25CB87300237,Wright Ltd,Elastic Rail Clip,B873,10-01-2025,26-01-2025,09-01-2030,FLAGGED,High failure rate predicted for this batch.
TS25LB63300238,"Cortez, Marsh and Nelson",GFN Liner,B633,22-08-2025,11-09-2025,21-08-2030,FLAGGED,High failure rate predicted for this batch.
RC25PB30200239,Kent-Young,Rail Pad,B302,03-02-2025,09-02-2025,02-02-2030,OK,Performance nominal.
TS25CB98600240,"Cortez, Marsh and Nelson",Elastic Rail Clip,B986,16-06-2025,29-06-2025,15-06-2030,FLAGGED,High failure rate predicted for this batch.
SI25LB33000241,Wright Ltd,GFN Liner,B330,27-01-2025,01-02-2025,26-01-2030,OK,Performance nominal.
TS25LB95100242,"Cortez, Marsh and Nelson",GFN Liner,B951,07-03-2025,20-03-2025,06-03-2030,OK,Performance nominal.
SI25CB69000243,Wright Ltd,Elastic Rail Clip,B690,28-06-2025,16-07-2025,27-06-2030,OK,Performance nominal.
SI25CB14500244,Wright Ltd,Elastic Rail Clip,B145,14-04-2025,30-04-2025,13-04-2030,OK,Performance nominal.
TS25PB26700245,"Cortez, Marsh and Nelson",Rail Pad,B267,06-01-2025,24-01-2025,05-01-2030,OK,Performance nominal.
TS25CB21500246,"Cortez, Marsh and Nelson",Elastic Rail Clip,B215,06-07-2025,12-07-2025,05-07-2030,OK,Performance nominal.
PP25LB12400247,"Wright, West and James",GFN Liner,B124,23-08-2025,28-08-2025,22-08-2030,OK,Performance nominal.
PP25CB14600248,"Wright, West and James",Elastic Rail Clip,B146,10-08-2025,16-08-2025,09-08-2030,OK,Performance nominal.
RC25PB75800249,Kent-Young,Rail Pad,B758,05-05-2025,21-05-2025,04-05-2030,OK,Performance nominal.
SI25CB50600250,Wright Ltd,Elastic Rail Clip,B506,22-02-2025,06-03-2025,21-02-2030,OK,Performance nominal.
TS25LB74200251,"Cortez, Marsh and Nelson",GFN Liner,B742,15-04-2025,28-04-2025,14-04-2030,OK,Performance nominal.
RC25PB52100252,Kent-Young,Rail Pad,B521,25-08-2025,09-09-2025,24-08-2030,FLAGGED,High failure rate predicted for this batch.
SI25CB35400253,Wright Ltd,Elastic Rail Clip,B354,11-04-2025,26-04-2025,10-04-2030,OK,Performance nominal.
PP25CB92200254,"Wright, West and James",Elastic Rail Clip,B922,27-08-2025,03-09-2025,26-08-2030,OK,Performance nominal.
PP25CB56300255,"Wright, West and James",Elastic Rail Clip,B563,02-08-2025,13-08-2025,01-08-2030,OK,Performance nominal.
PP25LB26500256,"Wright, West and James",GFN Liner,B265,20-03-2025,29-03-2025,19-03-2030,OK,Performance nominal.
TS25CB76500257,"Cortez, Marsh and Nelson",Elastic Rail Clip,B765,04-07-2025,17-07-2025,03-07-2030,OK,Performance nominal.
SI25CB12800258,Wright Ltd,Elastic Rail Clip,B128,15-01-2025,24-01-2025,14-01-2030,OK,Performance nominal.
RC25LB49700259,Kent-Young,GFN Liner,B497,09-06-2025,15-06-2025,08-06-2030,OK,Performance nominal.
TS25LB32700260,"Cortez, Marsh and Nelson",GFN Liner,B327,21-02-2025,28-02-2025,20-02-2030,OK,Performance nominal.
RC25LB16400261,Kent-Young,GFN Liner,B164,08-07-2025,16-07-2025,07-07-2030,OK,Performance nominal.
TS25PB88200262,"Cortez, Marsh and Nelson",Rail Pad,B882,06-05-2025,23-05-2025,05-05-2030,OK,Performance nominal.
TS25CB22200263,"Cortez, Marsh and Nelson",Elastic Rail Clip,B222,04-04-2025,20-04-2025,03-04-2030,OK,Performance nominal.
SI25LB93200264,Wright Ltd,GFN Liner,B932,11-03-2025,19-03-2025,10-03-2030,FLAGGED,High failure rate predicted for this batch.
TS25PB55700265,"Cortez, Marsh and Nelson",Rail Pad,B557,13-02-2025,24-02-2025,12-02-2030,FLAGGED,High failure rate predicted for this batch.
SI25LB96400266,Wright Ltd,GFN Liner,B964,17-03-2025,24-03-2025,16-03-2030,OK,Performance nominal.
SI25PB92600267,Wright Ltd,Rail Pad,B926,14-05-2025,20-05-2025,13-05-2030,OK,Performance nominal.
TS25LB86800268,"Cortez, Marsh and Nelson",GFN Liner,B868,23-06-2025,13-07-2025,22-06-2030,FLAGGED,High failure rate predicted for this batch.
RC25PB35700269,Kent-Young,Rail Pad,B357,07-05-2025,19-05-2025,06-05-2030,OK,Performance nominal.
SI25PB13200270,Wright Ltd,Rail Pad,B132,27-06-2025,12-07-2025,26-06-2030,OK,Performance nominal.
RC25CB54900271,Kent-Young,Elastic Rail Clip,B549,14-08-2025,27-08-2025,13-08-2030,OK,Performance nominal.
RC25PB76900272,Kent-Young,Rail Pad,B769,20-08-2025,07-09-2025,19-08-2030,OK,Performance nominal.
SI25LB67500273,Wright Ltd,GFN Liner,B675,14-02-2025,26-02-2025,13-02-2030,OK,Performance nominal.
RC25LB10700274,Kent-Young,GFN Liner,B107,05-07-2025,22-07-2025,04-07-2030,OK,Performance nominal.
PP25LB17300275,"Wright, West and James",GFN Liner,B173,06-01-2025,26-01-2025,05-01-2030,OK,Performance nominal.
TS25CB41200276,"Cortez, Marsh and Nelson",Elastic Rail Clip,B412,06-03-2025,15-03-2025,05-03-2030,OK,Performance nominal.
RC25CB13900277,Kent-Young,Elastic Rail Clip,B139,24-08-2025,12-09-2025,23-08-2030,OK,Performance nominal.
TS25CB42000278,"Cortez, Marsh and Nelson",Elastic Rail Clip,B420,11-04-2025,28-04-2025,10-04-2030,OK,Performance nominal.
SI25PB23900279,Wright Ltd,Rail Pad,B239,20-08-2025,01-09-2025,19-08-2030,OK,Performance nominal.
RC25CB98500280,Kent-Young,Elastic Rail Clip,B985,03-03-2025,09-03-2025,02-03-2030,FLAGGED,High failure rate predicted for this batch.
SI25CB61500281,Wright Ltd,Elastic Rail Clip,B615,01-04-2025,14-04-2025,31-03-2030,OK,Performance nominal.
SI25LB81000282,Wright Ltd,GFN Liner,B810,13-04-2025,22-04-2025,12-04-2030,OK,Performance nominal.
TS25CB91800283,"Cortez, Marsh and Nelson",Elastic Rail Clip,B918,07-04-2025,24-04-2025,06-04-2030,OK,Performance nominal.
RC25LB12700284,Kent-Young,GFN Liner,B127,20-06-2025,02-07-2025,19-06-2030,OK,Performance nominal.
SI25CB59300285,Wright Ltd,Elastic Rail Clip,B593,07-05-2025,23-05-2025,06-05-2030,FLAGGED,High failure rate predicted for this batch.
PP25PB49700286,"Wright, West and James",Rail Pad,B497,07-03-2025,15-03-2025,06-03-2030,OK,Performance nominal.
RC25CB78900287,Kent-Young,Elastic Rail Clip,B789,17-08-2025,29-08-2025,16-08-2030,OK,Performance nominal.
TS25LB63800288,"Cortez, Marsh and Nelson",GFN Liner,B638,07-05-2025,25-05-2025,06-05-2030,FLAGGED,High failure rate predicted for this batch.
RC25CB75000289,Kent-Young,Elastic Rail Clip,B750,01-07-2025,21-07-2025,30-06-2030,OK,Performance nominal.
SI25LB98800290,Wright Ltd,GFN Liner,B988,03-01-2025,15-01-2025,02-01-2030,OK,Performance nominal.
TS25LB97700291,"Cortez, Marsh and Nelson",GFN Liner,B977,25-01-2025,05-02-2025,24-01-2030,OK,Performance nominal.
RC25PB61300292,Kent-Young,Rail Pad,B613,24-07-2025,03-08-2025,23-07-2030,OK,Performance nominal.
SI25CB93300293,Wright Ltd,Elastic Rail Clip,B933,07-07-2025,13-07-2025,06-07-2030,OK,Performance nominal.
RC25PB69400294,Kent-Young,Rail Pad,B694,25-08-2025,08-09-2025,24-08-2030,OK,Performance nominal.
TS25PB41900295,"Cortez, Marsh and Nelson",Rail Pad,B419,06-03-2025,23-03-2025,05-03-2030,OK,Performance nominal.
RC25PB51600296,Kent-Young,Rail Pad,B516,21-01-2025,06-02-2025,20-01-2030,OK,Performance nominal.
TS25CB69800297,"Cortez, Marsh and Nelson",Elastic Rail Clip,B698,19-08-2025,02-09-2025,18-08-2030,OK,Performance nominal.
SI25LB50100298,Wright Ltd,GFN Liner,B501,27-03-2025,05-04-2025,26-03-2030,OK,Performance nominal.
PP25CB75600299,"Wright, West and James",Elastic Rail Clip,B756,05-08-2025,24-08-2025,04-08-2030,OK,Performance nominal.
TS25LB89600300,"Cortez, Marsh and Nelson",GFN Liner,B896,27-06-2025,12-07-2025,26-06-2030,OK,Performance nominal.
RC25LB77400301,Kent-Young,GFN Liner,B774,19-01-2025,26-01-2025,18-01-2030,OK,Performance nominal.
RC25PB36800302,Kent-Young,Rail Pad,B368,19-05-2025,07-06-2025,18-05-2030,OK,Performance nominal.
TS25LB90500303,"Cortez, Marsh and Nelson",GFN Liner,B905,17-04-2025,28-04-2025,16-04-2030,OK,Performance nominal.
SI25LB76100304,Wright Ltd,GFN Liner,B761,06-03-2025,13-03-2025,05-03-2030,FLAGGED,High failure rate predicted for this batch.
RC25PB80000305,Kent-Young,Rail Pad,B800,28-01-2025,12-02-2025,27-01-2030,OK,Performance nominal.
PP25CB92300306,"Wright, West and James",Elastic Rail Clip,B923,11-04-2025,28-04-2025,10-04-2030,OK,Performance nominal.
SI25LB24800307,Wright Ltd,GFN Liner,B248,01-04-2025,11-04-2025,31-03-2030,OK,Performance nominal.
SI25PB56500308,Wright Ltd,Rail Pad,B565,13-03-2025,18-03-2025,12-03-2030,OK,Performance nominal.
SI25PB42500309,Wright Ltd,Rail Pad,B425,11-04-2025,01-05-2025,10-04-2030,FLAGGED,High failure rate predicted for this batch.
TS25CB62000310,"Cortez, Marsh and Nelson",Elastic Rail Clip,B620,10-01-2025,17-01-2025,09-01-2030,FLAGGED,High failure rate predicted for this batch.
PP25PB59700311,"Wright, West and James",Rail Pad,B597,09-08-2025,15-08-2025,08-08-2030,OK,Performance nominal.
PP25CB87500312,"Wright, West and James",Elastic Rail Clip,B875,09-05-2025,20-05-2025,08-05-2030,FLAGGED,High failure rate predicted for this batch.
TS25LB91700313,"Cortez, Marsh and Nelson",GFN Liner,B917,20-01-2025,27-01-2025,19-01-2030,OK,Performance nominal.
SI25PB78100314,Wright Ltd,Rail Pad,B781,15-04-2025,05-05-2025,14-04-2030,FLAGGED,High failure rate predicted for this batch.
PP25PB21700315,"Wright, West and James",Rail Pad,B217,14-06-2025,02-07-2025,13-06-2030,OK,Performance nominal.
PP25PB75000316,"Wright, West and James",Rail Pad,B750,25-05-2025,05-06-2025,24-05-2030,OK,Performance nominal.
RC25PB23900317,Kent-Young,Rail Pad,B239,03-03-2025,19-03-2025,02-03-2030,OK,Performance nominal.
PP25PB44100318,"Wright, West and James",Rail Pad,B441,08-08-2025,20-08-2025,07-08-2030,FLAGGED,High failure rate predicted for this batch.
TS25PB68500319,"Cortez, Marsh and Nelson",Rail Pad,B685,20-06-2025,30-06-2025,19-06-2030,OK,Performance nominal.
SI25PB29600320,Wright Ltd,Rail Pad,B296,23-03-2025,02-04-2025,22-03-2030,OK,Performance nominal.
RC25CB84700321,Kent-Young,Elastic Rail Clip,B847,15-07-2025,25-07-2025,14-07-2030,OK,Performance nominal.
TS25LB85200322,"Cortez, Marsh and Nelson",GFN Liner,B852,27-04-2025,16-05-2025,26-04-2030,FLAGGED,High failure rate predicted for this batch.
PP25LB80200323,"Wright, West and James",GFN Liner,B802,18-01-2025,27-01-2025,17-01-2030,OK,Performance nominal.
RC25CB67400324,Kent-Young,Elastic Rail Clip,B674,18-03-2025,29-03-2025,17-03-2030,FLAGGED,High failure rate predicted for this batch.
RC25PB15300325,Kent-Young,Rail Pad,B153,11-04-2025,24-04-2025,10-04-2030,FLAGGED,High failure rate predicted for this batch.
RC25LB96800326,Kent-Young,GFN Liner,B968,27-02-2025,10-03-2025,26-02-2030,OK,Performance nominal.
SI25CB41600327,Wright Ltd,Elastic Rail Clip,B416,05-06-2025,16-06-2025,04-06-2030,OK,Performance nominal.
TS25PB25600328,"Cortez, Marsh and Nelson",Rail Pad,B256,01-02-2025,10-02-2025,31-01-2030,OK,Performance nominal.
SI25PB72100329,Wright Ltd,Rail Pad,B721,23-03-2025,04-04-2025,22-03-2030,OK,Performance nominal.
RC25CB35700330,Kent-Young,Elastic Rail Clip,B357,22-07-2025,06-08-2025,21-07-2030,OK,Performance nominal.
TS25LB83900331,"Cortez, Marsh and Nelson",GFN Liner,B839,23-06-2025,12-07-2025,22-06-2030,FLAGGED,High failure rate predicted for this batch.
RC25LB39500332,Kent-Young,GFN Liner,B395,11-03-2025,30-03-2025,10-03-2030,FLAGGED,High failure rate predicted for this batch.
SI25PB26100333,Wright Ltd,Rail Pad,B261,04-04-2025,14-04-2025,03-04-2030,FLAGGED,High failure rate predicted for this batch.
SI25PB81600334,Wright Ltd,Rail Pad,B816,03-08-2025,18-08-2025,02-08-2030,OK,Performance nominal.
PP25CB58200335,"Wright, West and James",Elastic Rail Clip,B582,14-01-2025,26-01-2025,13-01-2030,OK,Performance nominal.
TS25CB48700336,"Cortez, Marsh and Nelson",Elastic Rail Clip,B487,04-04-2025,13-04-2025,03-04-2030,OK,Performance nominal.
TS25CB91300337,"Cortez, Marsh and Nelson",Elastic Rail Clip,B913,21-08-2025,04-09-2025,20-08-2030,OK,Performance nominal.
RC25CB80400338,Kent-Young,Elastic Rail Clip,B804,18-06-2025,01-07-2025,17-06-2030,OK,Performance nominal.
TS25LB17900339,"Cortez, Marsh and Nelson",GFN Liner,B179,27-08-2025,15-09-2025,26-08-2030,OK,Performance nominal.
TS25PB75100340,"Cortez, Marsh and Nelson",Rail Pad,B751,01-07-2025,20-07-2025,30-06-2030,OK,Performance nominal.
TS25LB18100341,"Cortez, Marsh and Nelson",GFN Liner,B181,22-01-2025,05-02-2025,21-01-2030,FLAGGED,High failure rate predicted for this batch.
SI25CB63400342,Wright Ltd,Elastic Rail Clip,B634,15-06-2025,30-06-2025,14-06-2030,OK,Performance nominal.
PP25PB51900343,"Wright, West and James",Rail Pad,B519,06-07-2025,24-07-2025,05-07-2030,OK,Performance nominal.
RC25PB64900344,Kent-Young,Rail Pad,B649,11-04-2025,17-04-2025,10-04-2030,OK,Performance nominal.
PP25PB20200345,"Wright, West and James",Rail Pad,B202,12-01-2025,23-01-2025,11-01-2030,OK,Performance nominal.
PP25LB63300346,"Wright, West and James",GFN Liner,B633,10-06-2025,29-06-2025,09-06-2030,OK,Performance nominal.
TS25CB45700347,"Cortez, Marsh and Nelson",Elastic Rail Clip,B457,05-04-2025,25-04-2025,04-04-2030,OK,Performance nominal.
SI25LB37100348,Wright Ltd,GFN Liner,B371,11-07-2025,17-07-2025,10-07-2030,FLAGGED,High failure rate predicted for this batch.
PP25PB82800349,"Wright, West and James",Rail Pad,B828,21-06-2025,05-07-2025,20-06-2030,OK,Performance nominal.
TS25PB95500350,"Cortez, Marsh and Nelson",Rail Pad,B955,03-03-2025,10-03-2025,02-03-2030,OK,Performance nominal.
PP25LB99900351,"Wright, West and James",GFN Liner,B999,23-01-2025,11-02-2025,22-01-2030,OK,Performance nominal.
TS25PB64000352,"Cortez, Marsh and Nelson",Rail Pad,B640,22-05-2025,28-05-2025,21-05-2030,OK,Performance nominal.
RC25CB42700353,Kent-Young,Elastic Rail Clip,B427,22-06-2025,02-07-2025,21-06-2030,OK,Performance nominal.
RC25CB41500354,Kent-Young,Elastic Rail Clip,B415,11-08-2025,27-08-2025,10-08-2030,OK,Performance nominal.
RC25CB31100355,Kent-Young,Elastic Rail Clip,B311,27-01-2025,01-02-2025,26-01-2030,OK,Performance nominal.
SI25PB72800356,Wright Ltd,Rail Pad,B728,17-06-2025,05-07-2025,16-06-2030,OK,Performance nominal.
RC25PB98100357,Kent-Young,Rail Pad,B981,07-01-2025,18-01-2025,06-01-2030,OK,Performance nominal.
SI25PB34700358,Wright Ltd,Rail Pad,B347,13-02-2025,19-02-2025,12-02-2030,FLAGGED,High failure rate predicted for this batch.
PP25PB25700359,"Wright, West and James",Rail Pad,B257,13-04-2025,01-05-2025,12-04-2030,OK,Performance nominal.
TS25LB47600360,"Cortez, Marsh and Nelson",GFN Liner,B476,15-01-2025,25-01-2025,14-01-2030,OK,Performance nominal.
TS25PB22500361,"Cortez, Marsh and Nelson",Rail Pad,B225,04-02-2025,23-02-2025,03-02-2030,FLAGGED,High failure rate predicted for this batch.
TS25PB59100362,"Cortez, Marsh and Nelson",Rail Pad,B591,08-02-2025,14-02-2025,07-02-2030,OK,Performance nominal.
RC25LB67900363,Kent-Young,GFN Liner,B679,11-07-2025,21-07-2025,10-07-2030,OK,Performance nominal.
RC25LB67000364,Kent-Young,GFN Liner,B670,05-01-2025,22-01-2025,04-01-2030,OK,Performance nominal.
PP25PB41700365,"Wright, West and James",Rail Pad,B417,27-03-2025,04-04-2025,26-03-2030,FLAGGED,High failure rate predicted for this batch.
RC25CB33800366,Kent-Young,Elastic Rail Clip,B338,08-05-2025,19-05-2025,07-05-2030,FLAGGED,High failure rate predicted for this batch.
PP25LB68800367,"Wright, West and James",GFN Liner,B688,15-05-2025,02-06-2025,14-05-2030,OK,Performance nominal.
SI25CB76000368,Wright Ltd,Elastic Rail Clip,B760,20-08-2025,28-08-2025,19-08-2030,FLAGGED,High failure rate predicted for this batch.
RC25LB53000369,Kent-Young,GFN Liner,B530,16-08-2025,05-09-2025,15-08-2030,OK,Performance nominal.
PP25LB28200370,"Wright, West and James",GFN Liner,B282,01-07-2025,17-07-2025,30-06-2030,FLAGGED,High failure rate predicted for this batch.
PP25LB42200371,"Wright, West and James",GFN Liner,B422,20-04-2025,28-04-2025,19-04-2030,FLAGGED,High failure rate predicted for this batch.
SI25PB78900372,Wright Ltd,Rail Pad,B789,03-03-2025,09-03-2025,02-03-2030,OK,Performance nominal.
TS25PB70900373,"Cortez, Marsh and Nelson",Rail Pad,B709,01-05-2025,21-05-2025,30-04-2030,OK,Performance nominal.
RC25CB64100374,Kent-Young,Elastic Rail Clip,B641,19-03-2025,28-03-2025,18-03-2030,FLAGGED,High failure rate predicted for this batch.
SI25PB67300375,Wright Ltd,Rail Pad,B673,01-01-2025,08-01-2025,31-12-2029,FLAGGED,High failure rate predicted for this batch.
RC25LB85100376,Kent-Young,GFN Liner,B851,11-01-2025,27-01-2025,10-01-2030,OK,Performance nominal.
PP25PB34000377,"Wright, West and James",Rail Pad,B340,19-04-2025,29-04-2025,18-04-2030,FLAGGED,High failure rate predicted for this batch.
RC25LB93800378,Kent-Young,GFN Liner,B938,12-08-2025,21-08-2025,11-08-2030,OK,Performance nominal.
SI25LB81600379,Wright Ltd,GFN Liner,B816,22-03-2025,06-04-2025,21-03-2030,OK,Performance nominal.
SI25LB12600380,Wright Ltd,GFN Liner,B126,18-02-2025,09-03-2025,17-02-2030,FLAGGED,High failure rate predicted for this batch.
SI25PB76500381,Wright Ltd,Rail Pad,B765,28-05-2025,08-06-2025,27-05-2030,OK,Performance nominal.
RC25CB57600382,Kent-Young,Elastic Rail Clip,B576,04-02-2025,09-02-2025,03-02-2030,OK,Performance nominal.
SI25LB51900383,Wright Ltd,GFN Liner,B519,02-03-2025,20-03-2025,01-03-2030,OK,Performance nominal.
SI25PB81100384,Wright Ltd,Rail Pad,B811,19-06-2025,25-06-2025,18-06-2030,OK,Performance nominal.
RC25CB50300385,Kent-Young,Elastic Rail Clip,B503,07-04-2025,17-04-2025,06-04-2030,OK,Performance nominal.
PP25LB39700386,"Wright, West and James",GFN Liner,B397,20-01-2025,08-02-2025,19-01-2030,OK,Performance nominal.
PP25CB55200387,"Wright, West and James",Elastic Rail Clip,B552,23-05-2025,11-06-2025,22-05-2030,OK,Performance nominal.
TS25PB39500388,"Cortez, Marsh and Nelson",Rail Pad,B395,28-08-2025,03-09-2025,27-08-2030,OK,Performance nominal.
RC25CB15700389,Kent-Young,Elastic Rail Clip,B157,28-02-2025,05-03-2025,27-02-2030,FLAGGED,High failure rate predicted for this batch.
PP25LB84900390,"Wright, West and James",GFN Liner,B849,23-05-2025,31-05-2025,22-05-2030,OK,Performance nominal.
TS25LB87300391,"Cortez, Marsh and Nelson",GFN Liner,B873,03-02-2025,16-02-2025,02-02-2030,FLAGGED,High failure rate predicted for this batch.
PP25PB35500392,"Wright, West and James",Rail Pad,B355,23-07-2025,09-08-2025,22-07-2030,OK,Performance nominal.
SI25PB93100393,Wright Ltd,Rail Pad,B931,10-07-2025,26-07-2025,09-07-2030,OK,Performance nominal.
SI25LB56600394,Wright Ltd,GFN Liner,B566,07-06-2025,12-06-2025,06-06-2030,OK,Performance nominal.
RC25PB61400395,Kent-Young,Rail Pad,B614,21-01-2025,09-02-2025,20-01-2030,OK,Performance nominal.
PP25LB72500396,"Wright, West and James",GFN Liner,B725,21-07-2025,10-08-2025,20-07-2030,FLAGGED,High failure rate predicted for this batch.
TS25PB50700397,"Cortez, Marsh and Nelson",Rail Pad,B507,21-01-2025,31-01-2025,20-01-2030,OK,Performance nominal.
PP25PB56600398,"Wright, West and James",Rail Pad,B566,27-01-2025,10-02-2025,26-01-2030,OK,Performance nominal.
SI25LB85600399,Wright Ltd,GFN Liner,B856,19-05-2025,27-05-2025,18-05-2030,FLAGGED,High failure rate predicted for this batch.
PP25PB70400400,"Wright, West and James",Rail Pad,B704,28-04-2025,03-05-2025,27-04-2030,OK,Performance nominal.
PP25PB18600401,"Wright, West and James",Rail Pad,B186,08-03-2025,16-03-2025,07-03-2030,OK,Performance nominal.
PP25PB32900402,"Wright, West and James",Rail Pad,B329,12-05-2025,01-06-2025,11-05-2030,OK,Performance nominal.
TS25LB41800403,"Cortez, Marsh and Nelson",GFN Liner,B418,05-08-2025,19-08-2025,04-08-2030,OK,Performance nominal.
RC25LB34700404,Kent-Young,GFN Liner,B347,11-05-2025,24-05-2025,10-05-2030,OK,Performance nominal.
PP25PB90500405,"Wright, West and James",Rail Pad,B905,14-07-2025,30-07-2025,13-07-2030,OK,Performance nominal.
SI25PB87000406,Wright Ltd,Rail Pad,B870,17-02-2025,09-03-2025,16-02-2030,OK,Performance nominal.
TS25LB72300407,"Cortez, Marsh and Nelson",GFN Liner,B723,14-05-2025,23-05-2025,13-05-2030,OK,Performance nominal.
SI25LB85100408,Wright Ltd,GFN Liner,B851,25-08-2025,11-09-2025,24-08-2030,OK,Performance nominal.
SI25PB55200409,Wright Ltd,Rail Pad,B552,09-05-2025,26-05-2025,08-05-2030,OK,Performance nominal.
RC25LB13400410,Kent-Young,GFN Liner,B134,03-02-2025,17-02-2025,02-02-2030,FLAGGED,High failure rate predicted for this batch.
RC25LB10300411,Kent-Young,GFN Liner,B103,23-01-2025,12-02-2025,22-01-2030,FLAGGED,High failure rate predicted for this batch.
TS25PB12700412,"Cortez, Marsh and Nelson",Rail Pad,B127,08-03-2025,25-03-2025,07-03-2030,OK,Performance nominal.
TS25CB13300413,"Cortez, Marsh and Nelson",Elastic Rail Clip,B133,11-06-2025,26-06-2025,10-06-2030,OK,Performance nominal.
SI25CB57100414,Wright Ltd,Elastic Rail Clip,B571,27-04-2025,16-05-2025,26-04-2030,OK,Performance nominal.
TS25PB80300415,"Cortez, Marsh and Nelson",Rail Pad,B803,27-02-2025,19-03-2025,26-02-2030,OK,Performance nominal.
SI25CB76900416,Wright Ltd,Elastic Rail Clip,B769,10-05-2025,16-05-2025,09-05-2030,OK,Performance nominal.
TS25LB72900417,"Cortez, Marsh and Nelson",GFN Liner,B729,08-08-2025,20-08-2025,07-08-2030,OK,Performance nominal.
RC25PB11000418,Kent-Young,Rail Pad,B110,27-07-2025,16-08-2025,26-07-2030,FLAGGED,High failure rate predicted for this batch.
SI25CB70300419,Wright Ltd,Elastic Rail Clip,B703,05-03-2025,18-03-2025,04-03-2030,OK,Performance nominal.
PP25CB62700420,"Wright, West and James",Elastic Rail Clip,B627,09-07-2025,19-07-2025,08-07-2030,OK,Performance nominal.
RC25PB98600421,Kent-Young,Rail Pad,B986,14-05-2025,30-05-2025,13-05-2030,OK,Performance nominal.
RC25CB10000422,Kent-Young,Elastic Rail Clip,B100,07-06-2025,24-06-2025,06-06-2030,OK,Performance nominal.
SI25LB63400423,Wright Ltd,GFN Liner,B634,25-04-2025,01-05-2025,24-04-2030,OK,Performance nominal.
SI25CB31700424,Wright Ltd,Elastic Rail Clip,B317,06-05-2025,16-05-2025,05-05-2030,FLAGGED,High failure rate predicted for this batch.
PP25PB79900425,"Wright, West and James",Rail Pad,B799,01-06-2025,08-06-2025,31-05-2030,OK,Performance nominal.
RC25LB19700426,Kent-Young,GFN Liner,B197,27-04-2025,03-05-2025,26-04-2030,OK,Performance nominal.
TS25CB35700427,"Cortez, Marsh and Nelson",Elastic Rail Clip,B357,05-01-2025,17-01-2025,04-01-2030,OK,Performance nominal.
RC25LB82700428,Kent-Young,GFN Liner,B827,08-08-2025,17-08-2025,07-08-2030,OK,Performance nominal.
PP25LB36200429,"Wright, West and James",GFN Liner,B362,03-05-2025,11-05-2025,02-05-2030,FLAGGED,High failure rate predicted for this batch.
SI25PB57200430,Wright Ltd,Rail Pad,B572,05-04-2025,25-04-2025,04-04-2030,OK,Performance nominal.
